normal,predict
[11954.5517578125],[8209.6015625]
[224818.90625],[196061.359375]
[3999.99853515625],[6234.77587890625]
[3714.6591796875],[3459.439697265625]
[456450.5625],[316868.34375]
[188885.3125],[379824.5]
[34254.43359375],[53897.59765625]
[7828676096.0],[31654326272.0]
[1.821297889939292e+17],[3.168685996061491e+16]
[188627.34375],[103992.5390625]
[13144.1640625],[10586.6318359375]
[0.019999999552965164],[0.5500438213348389]
[2149.730224609375],[1952.1058349609375]
[827255619584.0],[564435288064.0]
[1.600000023841858],[2.126399517059326]
[19651288.0],[30489968.0]
[26361.900390625],[28301.3203125]
[321.99993896484375],[133.457763671875]
[64.0],[97.6036605834961]
[1.600000023841858],[1.7816123962402344]
[209214.203125],[253297.0]
[64.0],[57.29503631591797]
[162722.046875],[326103.1875]
[19328542720.0],[3999114240.0]
[4613339.0],[1281151.25]
[26361.900390625],[30934.880859375]
[983703232.0],[1139330176.0]
[550.39990234375],[839.9074096679688]
[321.99993896484375],[113.08560943603516]
[0.4000000059604645],[0.808310866355896]
[3927874.5],[2941783.25]
[64.0],[77.27843475341797]
[25.000001907348633],[25.828109741210938]
[0.009999999776482582],[0.023824138566851616]
[0.029999999329447746],[0.4680687189102173]
[24.889999389648438],[15.102387428283691]
[159394.171875],[184058.984375]
[22631268.0],[22508194.0]
[332861.5],[509439.59375]
[13995.8271484375],[2895.665283203125]
[68.1100082397461],[77.36072540283203]
[20334.0],[25676.23828125]
[5943464448.0],[6545808896.0]
[394.5600280761719],[481.9255676269531]
[209214.203125],[273204.46875]
[11954.5517578125],[6859.37841796875]
[13144.1640625],[8397.2998046875]
[1958816337887232.0],[607767467393024.0]
[6399998.0],[9749009.0]
[18300489728.0],[4470849536.0]
[3.0399999618530273],[1.796287178993225]
[25.000001907348633],[26.331295013427734]
[954179.5625],[866012.5625]
[9837033291776.0],[19625054044160.0]
[17272344576.0],[3907615232.0]
[12.800000190734863],[11.014849662780762]
[6455939584.0],[4598749184.0]
[662.0400390625],[1133.21826171875]
[0.4000000059604645],[0.843979001045227]
[0.4000000059604645],[1.552713394165039]
[26351.494140625],[54467.90625]
[11.600001335144043],[14.364794731140137]
[0.4000000059604645],[0.49371615052223206]
[8341896560640.0],[4086405005312.0]
[58826.3203125],[131436.078125]
[4211104838320128.0],[1.2455513606324224e+16]
[17904548.0],[46887132.0]
[17272344576.0],[61027295232.0]
[257056571392.0],[224279724032.0]
[2631938816.0],[6850351616.0]
[175723.296875],[293685.65625]
[26361.900390625],[111107.734375]
[3.200000047683716],[11.181340217590332]
[13995.8271484375],[1877.2135009765625]
[453504.84375],[328737.96875]
[0.4000000059604645],[1.3689857721328735]
[827255619584.0],[321605533696.0]
[15712592.0],[41865972.0]
[104.25000762939453],[60.170074462890625]
[3714.669921875],[2751.97607421875]
[13144.1640625],[12889.8837890625]
[159038.109375],[239360.484375]
[0.009999999776482582],[0.04265683516860008]
[704518.625],[609762.9375]
[11.600001335144043],[11.111615180969238]
[657116224.0],[752723840.0]
[25.000001907348633],[28.744874954223633]
[3927874.5],[8474804.0]
[1.9568188759436427e+19],[8.661430335596134e+18]
[216.1000518798828],[300.20294189453125]
[26361.900390625],[37118.10546875]
[175723.296875],[127122.0546875]
[7.500000476837158],[7.889204025268555]
[0.009999999776482582],[0.0034481806214898825]
[13144.1640625],[6789.84912109375]
[3714.6591796875],[11697.9892578125]
[25.000001907348633],[40.40829849243164]
[6930532864.0],[18926481408.0]
[2025.1702880859375],[6164.63037109375]
[13.800000190734863],[11.403122901916504]
[2105552273408.0],[1217301577728.0]
[188627.34375],[205422.546875]
[0.4000000059604645],[1.0886545181274414]
[662.0400390625],[888.7613525390625]
[162722.046875],[88203.640625]
[0.12999998033046722],[0.22920410335063934]
[950954754048.0],[1087896551424.0]
[3944246784.0],[5876294144.0]
[0.08999999612569809],[1.2891722917556763]
[2.7753140216397824e+16],[2.868561412358144e+16]
[391702728671232.0],[885116524036096.0]
[209214.203125],[357311.625]
[0.4000000059604645],[0.8387249112129211]
[175723.296875],[221861.3125]
[315118.09375],[590563.0625]
[11954.5517578125],[11651.994140625]
[662.0400390625],[1193.702392578125]
[172691.203125],[88498.9609375]
[14283.03515625],[2561.141845703125]
[33432.0],[85757.1640625]
[11954.5517578125],[47241.59765625]
[1.0],[128.5753936767578]
[29666.0078125],[55319.4765625]
[1.0],[1977.9412841796875]
[927817.25],[352278.96875]
[11.600001335144043],[7.586772441864014]
[550.4098510742188],[668.4744873046875]
[40209620.0],[38207480.0]
[12.729998588562012],[13.240900993347168]
[3714.669921875],[6208.14111328125]
[342.0],[389.9844665527344]
[550.4098510742188],[1098.323974609375]
[370953184.0],[388501376.0]
[13995.8271484375],[3816.515869140625]
[2106.150146484375],[2108.270263671875]
[15730014.0],[15470260.0]
[0.4000000059604645],[0.9713483452796936]
[20334.0],[43826.921875]
[0.4000000059604645],[0.8532702326774597]
[1.055675250057943e+31],[2.5054216921303185e+30]
[24.889999389648438],[17.649394989013672]
[26361.900390625],[67664.71875]
[147220.796875],[161890.6875]
[0.009999999776482582],[0.22025898098945618]
[4932664832.0],[4308185088.0]
[3.200000047683716],[5.510207653045654]
[11954.5517578125],[9131.41796875]
[126057889792.0],[127463809024.0]
[22504202.0],[51808528.0]
[100.00000762939453],[75.64895629882812]
[9443575448207360.0],[1085286830309376.0]
[0.4000000059604645],[0.5026191473007202]
[26361.900390625],[97486.265625]
[0.4000000059604645],[0.725028932094574]
[662.0400390625],[1542.802490234375]
[26361.900390625],[39625.48828125]
[39170269184.0],[30894112768.0]
[88064.7890625],[262770.25]
[270.48004150390625],[322.662841796875]
[453504.84375],[387779.34375]
[13144.1640625],[6498.58544921875]
[3714.301513671875],[13811.4033203125]
[155292.671875],[106655.2890625]
[876500156416.0],[4515006251008.0]
[1.0],[493.9906311035156]
[13.800000190734863],[24.590206146240234]
[927817.25],[1162202.0]
[3714.6591796875],[12560.0126953125]
[13.800000190734863],[14.167784690856934]
[1.600000023841858],[0.9574828743934631]
[2.0],[3.397233486175537]
[39170269184.0],[39266689024.0]
[12.209999084472656],[22.770517349243164]
[17909604.0],[14231200.0]
[0.4000000059604645],[0.8130945563316345]
[453504.84375],[314284.03125]
[270.48004150390625],[266.2047424316406]
[417.6200866699219],[363.5037536621094]
[662.0400390625],[984.5237426757812]
[5731142074368.0],[7343998763008.0]
[293921.84375],[609019.6875]
[954179.5625],[760871.75]
[155292.671875],[80246.78125]
[25.000001907348633],[34.130393981933594]
[323.8699645996094],[2442.745849609375]
[0.4000000059604645],[0.40556177496910095]
[167.7799835205078],[186.80322265625]
[227180.671875],[425698.59375]
[2.0],[4.303668022155762]
[37018400.0],[19890252.0]
[927817.25],[295395.1875]
[827255619584.0],[849175052288.0]
[49279540396032.0],[292789296300032.0]
[2.7753140216397824e+16],[2803799211114496.0]
[0.12999998033046722],[0.40296193957328796]
[662.0400390625],[791.5975952148438]
[30.729997634887695],[25.992721557617188]
[0.009999999776482582],[0.5187995433807373]
[1.0],[0.8802200555801392]
[35350908.0],[29122990.0]
[1.0],[0.2080986052751541]
[13995.8134765625],[2896.700927734375]
[3934876672.0],[7065123328.0]
[99.7099838256836],[94.1836929321289]
[25.000001907348633],[45.455379486083984]
[662.0400390625],[799.4764404296875]
[33432.0],[70573.34375]
[954179.5625],[589647.4375]
[11954.5517578125],[63172.3046875]
[7609582080.0],[39495409664.0]
[3999.99853515625],[3896.87060546875]
[662.0400390625],[932.547119140625]
[0.6800000071525574],[0.8351863622665405]
[11.600001335144043],[12.673456192016602]
[454601.21875],[729212.5625]
[3927874.5],[10323238.0]
[0.4000000059604645],[0.8799529671669006]
[2932.290283203125],[2869.60546875]
[1308526613889024.0],[225145423659008.0]
[12.0],[11.266800880432129]
[22456264.0],[24527336.0]
[128169.6796875],[24951.234375]
[0.009999999776482582],[0.007107754237949848]
[13806.201171875],[10231.4345703125]
[1.6651885418328883e+17],[4.98824133186945e+17]
[0.12999998033046722],[0.4794280529022217]
[3927874.5],[2496801.75]
[0.4000000059604645],[1.1770836114883423]
[2932.290283203125],[3160.08544921875]
[1308526613889024.0],[4341731168354304.0]
[12.0],[17.81285285949707]
[22456264.0],[50462740.0]
[128169.6796875],[37869.078125]
[0.009999999776482582],[0.0013079713098704815]
[13806.201171875],[5645.7080078125]
[1.6651885418328883e+17],[2.3073126095834317e+17]
[0.12999998033046722],[0.14294326305389404]
[4.0],[12.388911247253418]
[25.000001907348633],[34.042842864990234]
[343.5999450683594],[419.9234619140625]
[229318.0],[417083.1875]
[3714.669921875],[14059.98828125]
[1.9600000381469727],[1.760621428489685]
[209214.203125],[145031.40625]
[3206400.25],[8415110.0]
[3714.6591796875],[5955.66796875]
[37146632.0],[19472606.0]
[49185168556032.0],[2994728599552.0]
[118.55000305175781],[115.8687515258789]
[64.0],[51.46268081665039]
[9837033291776.0],[67458073362432.0]
[0.4000000059604645],[0.36241790652275085]
[0.009999999776482582],[0.025682393461465836]
[185888752.0],[126895992.0]
[22534784.0],[19155724.0]
[11.600001335144043],[12.567598342895508]
[459.4999694824219],[274.8588562011719]
[12.209999084472656],[17.43008041381836]
[1958771509166080.0],[2872688339058688.0]
[12.399998664855957],[8.714337348937988]
[499.2800598144531],[347.1934509277344]
[321.99993896484375],[166.53131103515625]
[0.11999999731779099],[7.191116809844971]
[3714.669921875],[4926.45361328125]
[9264.4765625],[7885.90087890625]
[13168.6181640625],[9847.8017578125]
[321.99993896484375],[150.6533203125]
[6455939584.0],[17407811584.0]
[2.2395448769843823e+19],[1.9682955783143686e+19]
[0.009999999776482582],[0.0092759495601058]
[0.11999999731779099],[0.07051518559455872]
[3714.669921875],[8756.3017578125]
[64.0],[71.50192260742188]
[26361.900390625],[42274.86328125]
[209214.203125],[145831.25]
[346.9999694824219],[134.83872985839844]
[257056571392.0],[113612185600.0]
[967437.25],[498817.75]
[576.0],[314.9256286621094]
[6455939584.0],[681609664.0]
[2.2395448769843823e+19],[2.5620542873506152e+19]
[0.009999999776482582],[0.006659482605755329]
[0.11999999731779099],[0.04568955674767494]
[3714.669921875],[7898.43994140625]
[64.0],[98.86259460449219]
[26361.900390625],[72391.9140625]
[209214.203125],[267646.46875]
[346.9999694824219],[141.9524383544922]
[257056571392.0],[84577853440.0]
[967437.25],[709931.125]
[576.0],[464.0116882324219]
[576.0],[297.695068359375]
[983703232.0],[778572672.0]
[3927874.5],[16223334.0]
[26361.900390625],[131284.359375]
[22490728.0],[12996465.0]
[3714.669921875],[7262.4423828125]
[453504.84375],[443684.78125]
[13.800000190734863],[14.712691307067871]
[341418.34375],[359329.84375]
[11.600001335144043],[13.41279125213623]
[13168.6181640625],[7999.22265625]
[6.807250863233434e+16],[4.1589535844755046e+17]
[26361.900390625],[46692.28515625]
[188885.3125],[196270.890625]
[1115083.0],[1239565.625]
[0.07000000029802322],[5.371732234954834]
[0.009999999776482582],[0.1111040860414505]
[25.000001907348633],[65.45491790771484]
[2526662623232.0],[6239657918464.0]
[0.009999999776482582],[0.11629040539264679]
[1024.0],[462.7511291503906]
[6.807250863233434e+16],[3.502203263296471e+17]
[26361.900390625],[46835.12890625]
[188885.3125],[206960.84375]
[1115083.0],[184459.46875]
[0.07000000029802322],[2.262753486633301]
[0.009999999776482582],[0.25187554955482483]
[25.000001907348633],[53.76533508300781]
[2526662623232.0],[5222536052736.0]
[0.009999999776482582],[0.23100996017456055]
[1024.0],[606.9522705078125]
[0.3700000047683716],[1.3627172708511353]
[188627.34375],[201192.234375]
[983703232.0],[845876032.0]
[49186670116864.0],[27469818101760.0]
[257064419328.0],[441600344064.0]
[174.99998474121094],[186.74578857421875]
[550.4098510742188],[511.3305358886719]
[16114.4453125],[6357.63623046875]
[29717.31640625],[63781.296875]
[71126552.0],[147102000.0]
[11954.5517578125],[8333.421875]
[5943464448.0],[21975840768.0]
[64.0],[147.90280151367188]
[4951.998046875],[8829.8701171875]
[22642710.0],[14216414.0]
[2631938816.0],[2309368064.0]
[13168.6181640625],[9290.6298828125]
[1377.58984375],[1474.7906494140625]
[26361.900390625],[52829.47265625]
[2.0],[3.235030174255371]
[185091.90625],[120579.7421875]
[0.4000000059604645],[0.643284797668457]
[6.807250863233434e+16],[2.597536950072115e+16]
[0.4000000059604645],[0.5198037028312683]
[13998.029296875],[18822.9765625]
[3.255096246288129e+23],[3.503977771775579e+23]
[662.0400390625],[969.5130004882812]
[1.4232730271219712e+16],[2.3624783291744256e+16]
[662.0400390625],[987.4307250976562]
[5943464448.0],[1272411776.0]
[3944246784.0],[1033075328.0]
[333798.3125],[269020.15625]
[37146.6484375],[30101.384765625]
[3927874.5],[9090907.0]
[64.0],[91.11627960205078]
[0.29999998211860657],[1.7321518659591675]
[3927874.5],[1117221.5]
[1314740.0],[1074121.25]
[1256528.5],[452407.625]
[504231100416.0],[88170774528.0]
[0.010009764693677425],[0.029138531535863876]
[1480.000244140625],[1551.1763916015625]
[1.0],[0.6975306868553162]
[209214.203125],[167620.859375]
[14133.6865234375],[12255.4130859375]
[52291012.0],[17951600.0]
[209214.203125],[102740.125]
[0.09999999403953552],[0.23655742406845093]
[5943464448.0],[13110865920.0]
[0.6600000262260437],[1.0409170389175415]
[32000.00390625],[30603.85546875]
[11.600001335144043],[8.771098136901855]
[11.600001335144043],[18.140216827392578]
[2631938816.0],[5450472960.0]
[64.0],[114.76275634765625]
[11.600001335144043],[8.129361152648926]
[339009855291392.0],[152493921140736.0]
[12.0],[13.219108581542969]
[6.841327563256627e+16],[4.837736916084326e+16]
[983703232.0],[187703664.0]
[26361.900390625],[89883.703125]
[14.980001449584961],[15.78321647644043]
[3714.6591796875],[4566.20361328125]
[4119478016.0],[8146795008.0]
[0.050048828125],[0.01477000955492258]
[233301.84375],[138159.421875]
[126057889792.0],[133679054848.0]
[6.80745831015383e+16],[5.778031958713958e+16]
[13168.6181640625],[9766.134765625]
[1.600000023841858],[1.1748244762420654]
[827255619584.0],[577510899712.0]
[343.5999450683594],[255.1581268310547]
[704518.625],[1466424.25]
[0.12999998033046722],[2.1757748126983643]
[59.63999938964844],[65.0330581665039]
[0.4000000059604645],[3.3482415676116943]
[155292.671875],[142016.296875]
[5335832576.0],[1269982336.0]
[26361.900390625],[64706.359375]
[1.4066123097456066e+33],[2.4725890802583146e+30]
[1634.350341796875],[10409.9453125]
[31928.001953125],[17262.03125]
[3927874.5],[5846602.5]
[11954.5517578125],[80738.453125]
[18.760000228881836],[21.815736770629883]
[26361.900390625],[15677.3486328125]
[23600624.0],[9919812.0]
[1.0],[2378.7119140625]
[13144.1640625],[9047.2158203125]
[827255619584.0],[71296991232.0]
[3830.86865234375],[3430.152099609375]
[26361.900390625],[22250.853515625]
[484.39996337890625],[531.0368041992188]
[10.399998664855957],[18.209726333618164]
[2122827431936.0],[47848734720.0]
[233123.25],[155795.6875]
[20348.005859375],[42777.18359375]
[188885.3125],[194804.796875]
[257056571392.0],[62016008192.0]
[13144.1640625],[9216.466796875]
[0.009999999776482582],[0.004899035207927227]
[6455939584.0],[3341251328.0]
[3.200000047683716],[6.768253803253174]
[5760001.0],[3657796.5]
[827255619584.0],[47578083328.0]
[25.000001907348633],[52.209468841552734]
[13168.6181640625],[5414.49609375]
[3.472097330445379e+23],[1.7975319874795365e+23]
[12.380000114440918],[11.100459098815918]
[512.0],[480.2965087890625]
[11.600001335144043],[9.655876159667969]
[159038.109375],[217333.3125]
[2843.6796875],[7646.12060546875]
[459.4999694824219],[287.63946533203125]
[1.600000023841858],[2.808049201965332]
[12.0],[12.75765323638916]
[62494517231616.0],[385707927404544.0]
[983703232.0],[3108045056.0]
[4403693568.0],[5957163008.0]
[155292.671875],[88855.25]
[200.00001525878906],[85.13670349121094]
[6455939584.0],[19007807488.0]
[11954.5517578125],[12879.6357421875]
[29717.31640625],[74170.1484375]
[542.9698486328125],[569.4569702148438]
[126057889792.0],[312345198592.0]
[13144.1640625],[7708.5595703125]
[63.60000991821289],[55.427940368652344]
[233591.9375],[484750.0625]
[236.54000854492188],[573.9656372070312]
[379.2299499511719],[343.8387451171875]
[459.4999694824219],[238.9769287109375]
[11954.5517578125],[15621.3076171875]
[64.0],[93.67203521728516]
[640000.0625],[728644.625]
[346.9999694824219],[172.98526000976562]
[22494160.0],[25856518.0]
[6.15000057220459],[8.669370651245117]
[39278764.0],[407194848.0]
[22451852.0],[13181756.0]
[26361.900390625],[28920.404296875]
[0.4000000059604645],[3.0723140239715576]
[3999.99853515625],[5464.232421875]
[3927874.5],[10050574.0]
[9837033291776.0],[11294488920064.0]
[2.51828312114987e+17],[4.168199377753473e+18]
[175723.296875],[102732.6796875]
[22548800.0],[24203146.0]
[0.12999998033046722],[0.16840383410453796]
[13144.1640625],[16426.947265625]
[2631938816.0],[1846731776.0]
[25.000001907348633],[16.984487533569336]
[11.600001335144043],[8.595215797424316]
[32000.00390625],[41199.234375]
[174.99998474121094],[275.9563293457031]
[927817.25],[272382.375]
[22451852.0],[124960584.0]
[0.009999999776482582],[0.006435866001993418]
[1246.6197509765625],[827.482177734375]
[221168.828125],[189169.59375]
[0.009999999776482582],[0.13391923904418945]
[24.92999839782715],[30.74203872680664]
[630289465344.0],[42689978368.0]
[313613.0625],[562173.0]
[59022199750656.0],[59291079802880.0]
[3714.6591796875],[9242.6259765625]
[1.600000023841858],[2.4349520206451416]
[662.0400390625],[1038.0338134765625]
[3714297102336.0],[2368740786176.0]
[2122827431936.0],[1054902255616.0]
[37146632.0],[66629500.0]
[983703232.0],[154786208.0]
[26361.900390625],[41128.0234375]
[11954.5517578125],[16670.888671875]
[615.5999755859375],[635.8800659179688]
[189144.34375],[123002.296875]
[550.4098510742188],[406.84698486328125]
[0.4000000059604645],[2.8568029403686523]
[11405331456.0],[25229471744.0]
[1.055675250057943e+31],[2.475533721323441e+30]
[0.4000000059604645],[0.703269362449646]
[5429.69873046875],[6992.61328125]
[1.600000023841858],[1.878727912902832]
[0.12999998033046722],[0.25076693296432495]
[13144.1640625],[9128.75390625]
[453504.84375],[303471.53125]
[212.0000457763672],[129.60507202148438]
[1.0372924766683136e+16],[2.9194088859303936e+16]
[0.4000000059604645],[0.44686517119407654]
[13806.201171875],[7548.29638671875]
[1240143.75],[405022.6875]
[4951.998046875],[8535.486328125]
[64.0],[35.22282791137695]
[0.4000000059604645],[0.42789310216903687]
[175723.296875],[449659.46875]
[11954.5517578125],[34333.67578125]
[0.4000000059604645],[0.5097185373306274]
[1.1238302136422892e+18],[7.703513815245128e+17]
[25.000001907348633],[23.809450149536133]
[25.000001907348633],[9.10006046295166]
[325352.6875],[779421.375]
[175723.296875],[118960.5625]
[6455939584.0],[5562555392.0]
[983703232.0],[1844485760.0]
[25.000001907348633],[23.218883514404297]
[88064.7890625],[102555.203125]
[255231.046875],[289776.78125]
[332508.375],[388591.9375]
[13144.1640625],[8350.6455078125]
[8.689998626708984],[4.755354881286621]
[321.99993896484375],[128.0594024658203]
[12.0],[8.366569519042969]
[37146.6484375],[24335.40625]
[0.4000000059604645],[0.49377280473709106]
[0.14000000059604645],[8.44133186340332]
[12.0],[13.22447681427002]
[270.48004150390625],[321.8697814941406]
[1.600000023841858],[1.667900562286377]
[170874.578125],[388437.40625]
[221168.828125],[217782.078125]
[13168.6181640625],[14855.505859375]
[2.0],[2.8072988986968994]
[512.0],[355.4487609863281]
[26207954.0],[32457826.0]
[0.009999999776482582],[0.08128415048122406]
[13144.1640625],[26088.541015625]
[3980788992.0],[1174337792.0]
[9.595417777249557e+26],[3.6230414766601273e+27]
[1.600000023841858],[0.6708750128746033]
[321.99993896484375],[100.91194152832031]
[159951.203125],[153361.578125]
[0.03999999910593033],[1.2540565729141235]
[29717.31640625],[37490.44140625]
[11954.5517578125],[7955.71337890625]
[6455939584.0],[3733789440.0]
[64.0],[81.34577178955078]
[13168.6181640625],[8252.1845703125]
[927817.25],[1138100.25]
[13719.025390625],[7270.95947265625]
[20209.40234375],[37311.77734375]
[662.0400390625],[933.4640502929688]
[3608.060302734375],[6959.18994140625]
[6.597991644492523e+24],[2.3813091003878416e+25]
[6094.86767578125],[9920.9033203125]
[9219.841796875],[4742.7060546875]
[0.4000000059604645],[0.671034574508667]
[704518.625],[725765.875]
[17964000.0],[15129600.0]
[51.79999542236328],[38.86836242675781]
[179436.0625],[232165.890625]
[359.4100036621094],[271.0099792480469]
[3714.669921875],[9681.5341796875]
[155292.671875],[222972.796875]
[321.99993896484375],[118.42243194580078]
[6.15000057220459],[14.436417579650879]
[26361.900390625],[92571.0625]
[0.4000000059604645],[2.9005727767944336]
[815267.75],[1242669.0]
[3927874.5],[2218842.75]
[34.75],[48.8343620300293]
[25.000001907348633],[41.68657302856445]
[159009.0],[84630.921875]
[209214.203125],[170987.21875]
[5.739999771118164],[9.3152494430542]
[99.739990234375],[86.73506164550781]
[37888867696640.0],[17056397262848.0]
[175723.296875],[166513.0625]
[459.4999694824219],[417.8607177734375]
[11.600001335144043],[7.833351135253906]
[1573923112091648.0],[2.3097243196194816e+16]
[397.0],[157.5989990234375]
[421109628928.0],[453032443904.0]
[26361.900390625],[43314.66796875]
[24.92999839782715],[24.080678939819336]
[1.0],[214.75733947753906]
[343.5999450683594],[419.3315734863281]
[662.0400390625],[949.2868041992188]
[37146632.0],[14864272.0]
[8918317056.0],[8814499840.0]
[22248.009765625],[29414.744140625]
[35999.98828125],[28170.748046875]
[3714.669921875],[5965.02978515625]
[2932.290283203125],[2146.9150390625]
[19.160001754760742],[25.37056541442871]
[704518.625],[903917.0]
[289980.78125],[266758.90625]
[0.4000000059604645],[0.4686802923679352]
[379.2299499511719],[230.0253448486328]
[0.4000000059604645],[2.1894454956054688]
[25.000001907348633],[57.993385314941406]
[175723.296875],[129923.1328125]
[3959.0],[4337.533203125]
[3938180352.0],[31017099264.0]
[2.0],[2.547391653060913]
[1.0],[10468.853515625]
[0.4000000059604645],[0.5086622834205627]
[11954.5517578125],[7146.13330078125]
[117483142905856.0],[175859902185472.0]
[1.2316201847657274e+27],[8.722108329963185e+26]
[25.000001907348633],[31.52184295654297]
[14090373.0],[15581219.0]
[0.4000000059604645],[0.4655535817146301]
[4918516224.0],[9516106752.0]
[129.72996520996094],[117.84942626953125]
[13168.6181640625],[14988.6484375]
[827258765312.0],[2888826880000.0]
[159240.875],[173171.453125]
[26361.900390625],[72563.671875]
[2.0],[1.5886797904968262]
[26361.900390625],[57597.91796875]
[126057889792.0],[107859845120.0]
[250.00003051757812],[344.82470703125]
[392.6199951171875],[406.0215759277344]
[662.0400390625],[1125.3408203125]
[13995.8271484375],[1061.300048828125]
[176668.484375],[78245.5859375]
[64.0],[91.5267333984375]
[0.019999999552965164],[0.667353630065918]
[100.00000762939453],[73.4668960571289]
[37018400.0],[8312828.5]
[2631938816.0],[8035757056.0]
[504231100416.0],[2283982290944.0]
[13995.8271484375],[2256.643798828125]
[43206644.0],[49903284.0]
[353111.4375],[167202.25]
[6688598392832.0],[5260696354816.0]
[445.9999694824219],[327.66156005859375]
[70905360.0],[16482587.0]
[130.13002014160156],[85.79515075683594]
[321.99993896484375],[264.7027587890625]
[9786587.0],[22675514.0]
[196614.671875],[48699.71484375]
[176170.3125],[23758.439453125]
[1.3695846689066189e+17],[1.537299791740928e+16]
[13144.1640625],[1009.7081298828125]
[1113464.625],[2922190.5]
[333834.9375],[132518.234375]
[6455939584.0],[15341931520.0]
[233123.25],[211572.984375]
[24303854.0],[19553332.0]
[1516641845248.0],[255132532736.0]
[827255619584.0],[313096732672.0]
[827258765312.0],[736495271936.0]
[674675.125],[309395.28125]
[17272344576.0],[9905892352.0]
[397.0],[175.2673797607422]
[182770.90625],[252149.28125]
[806135595008.0],[613221793792.0]
[411393.78125],[59433.01953125]
[1412673.5],[592055.1875]
[13168.6181640625],[11846.666015625]
[453504.84375],[480646.1875]
[13144.1640625],[912.2318115234375]
[299373.28125],[23946.515625]
[24320130.0],[11235196.0]
[11.600001335144043],[10.847925186157227]
[12.399998664855957],[17.135194778442383]
[6959.13037109375],[993.2618408203125]
[799950700544.0],[184607145984.0]
[11.600001335144043],[0.6660963296890259]
[11.600001335144043],[0.4434835612773895]
[14009.4345703125],[1880.6046142578125]
[12.0],[20.166860580444336]
[343.5999450683594],[352.26214599609375]
[405.27996826171875],[31.158145904541016]
[2036322.75],[66195.296875]
[29720440832.0],[36581666816.0]
[127759592.0],[31733590.0]
[206375.671875],[254393.390625]
[11.600001335144043],[10.194419860839844]
[36726748.0],[23680526.0]
[229637.296875],[633150.4375]
[482993.3125],[69899.8984375]
[14269.43359375],[7406.634765625]
[155292.671875],[4526.79931640625]
[343.5999450683594],[99.73162078857422]
[471038.6875],[22198.671875]
[471038.6875],[359669.9375]
[13806.201171875],[6204.2470703125]
[299373.28125],[6342.28515625]
[2137217433600.0],[7945967894528.0]
[202888.96875],[140986.515625]
[13806.201171875],[10383.7392578125]
[1.6601655767518443e+25],[1.416492042696523e+24]
[12988431360.0],[4234150656.0]
[954179.5625],[849042.9375]
[1.2291880291559014e+18],[1.1108849588738458e+17]
[473.10009765625],[128.27825927734375]
[954179.5625],[625312.25]
[14009.4345703125],[3.8560545444488525]
[179821.84375],[146885.890625]
[343.5999450683594],[510.9456787109375]
[241192.265625],[288053.875]
[954179.5625],[22660.9296875]
[271301.84375],[54589.80078125]
[453504.84375],[536722.4375]
[129.72996520996094],[123.23717498779297]
[24346028.0],[39426632.0]
[17278044160.0],[3657753088.0]
